Status,Problem ,Solution,Topic,Sub Topic,Difficulty,Remarks,Link
Yes,https://takeuforward.org/data-structure/dynamic-programming-climbing-stairs/,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Dynamic%20Programming/1D_DP/Climbing_Stars.py,DP,1D-DP,,,
Yes,https://takeuforward.org/data-structure/dynamic-programming-frog-jump-dp-3/,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Dynamic%20Programming/1D_DP/Frog_Jump(DP-3).py,DP,1D-DP,,,
Yes,https://takeuforward.org/data-structure/dynamic-programming-frog-jump-with-k-distances-dp-4/,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Dynamic%20Programming/1D_DP/Frog_Jump_with_k_distances(DP-4).py,DP,1D-DP,,,
Yes,https://takeuforward.org/data-structure/maximum-sum-of-non-adjacent-elements-dp-5/,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Dynamic%20Programming/1D_DP/Maximum_sum_of_non-adjacent_element%E2%80%A6.py,DP,1D-DP,,,
Yes,https://takeuforward.org/data-structure/dynamic-programming-house-robber-dp-6/,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Dynamic%20Programming/1D_DP/House_Robber_(DP_6).py,DP,1D-DP,,,
Yes,https://takeuforward.org/data-structure/dynamic-programming-ninjas-training-dp-7/,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Dynamic%20Programming/2D_3D_DP/Ninja's_Training_(DP_7).py,DP,2D-DP,,,
Yes,https://takeuforward.org/data-structure/grid-unique-paths-dp-on-grids-dp8/,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Dynamic%20Programming/2D_3D_DP/Grid_Unique_Paths__DP_on_Grids_(DP%E2%80%A6.py,DP,2D-DP,,,
Yes,https://takeuforward.org/data-structure/grid-unique-paths-2-dp-9/,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Dynamic%20Programming/2D_3D_DP/Grid_Unique_Paths_2_(DP_9).py,DP,2D-DP,,,
Yes,https://takeuforward.org/data-structure/minimum-path-sum-in-a-grid-dp-10/,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Dynamic%20Programming/2D_3D_DP/Minimum_path_sum_in_Grid_(DP_10).py,DP,2D-DP,,,
Yes,https://takeuforward.org/data-structure/minimum-path-sum-in-triangular-grid-dp-11/,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Dynamic%20Programming/2D_3D_DP/Minimum_path_sum_in_Triangular_Grid%E2%80%A6.py,DP,2D-DP,,,
