Status,Problem ,Solution,Topic,Sub Topic,Difficulty,Remarks,Link
Yes,https://leetcode.com/problems/diagonal-traverse/,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Arrays/2D_Matrix_Based/Diagonal_Traversal.py,Arrays,2D Matrix Based,Medium,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Arrays/2D_Matrix_Based/Grid_Unique_Paths.py,Arrays,2D Matrix Based,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Arrays/2D_Matrix_Based/Search_in_a_2_D_matrix.py,Arrays,2D Matrix Based,,,
Yes,https://leetcode.com/problems/find-valid-matrix-given-row-and-column-sums/,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Arrays/2D_Matrix_Based/Valid_matrix_given_row_col_sums.py,Arrays,2D Matrix Based,Medium,,
Yes,https://leetcode.com/problems/minimum-length-of-string-after-operations/,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Arrays/Contest_Important_Questions/Min_String_Length_After_Operations.py,Arrays,Contest Important Questions,Medium,,
Yes,https://leetcode.com/problems/vowels-game-in-a-string/description/,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Arrays/Contest_Important_Questions/Vowel_game.py,Arrays,Contest Important Questions,Medium,,
Yes,https://leetcode.com/problems/data-stream-as-disjoint-intervals/,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Arrays/Data_stream_as_disjoint_set.py,Arrays,,Hard,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Arrays/Find_the_duplicate_in_an_array_of_N%2B1_inte%C3%A2%E2%82%AC%C2%A6.py,Arrays,,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Arrays/Kadane%27s_Algorithm%2C_maximum_subarra%E2%80%A6.py,Arrays,,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Arrays/Kadane%27s_Algorithm.py,Arrays,,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Arrays/Longest_Incr_Decr_Subarray.py,Arrays,,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Arrays/Majority_Element_%28n2_times%29.py,Arrays,,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Arrays/Majority_Element_%28n3_times%29.py,Arrays,,,,
Yes,https://leetcode.com/problems/merge-sorted-array/solutions/3436053/beats-100-best-c-java-python-and-javascript-solution-two-pointer-stl/,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Arrays/Merge_two_sorted_arrays_without_ext%C3%A2%E2%82%AC%C2%A6.py,Arrays,,Easy,,
Yes,https://leetcode.com/problems/merge-sorted-array/solutions/3436053/beats-100-best-c-java-python-and-javascript-solution-two-pointer-stl/,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Arrays/Merge_two_sorted_arrays_without_ext%E2%80%A6.py,Arrays,,Easy,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Arrays/Pascal%27s_Triangle.py,Arrays,,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Arrays/Pow%28x%2C_n%29.py,Arrays,,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Arrays/Prefix%20Sum/Binary_array_sum.py,Arrays,Prefix Sum,,,
Yes,https://leetcode.com/problems/maximum-points-you-can-obtain-from-cards/,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Arrays/Prefix%20Sum/Max_Points_from_picking_cards.py,Arrays,Prefix Sum,Medium,,
Yes,https://leetcode.com/problems/count-number-of-nice-subarrays/,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Arrays/Prefix%20Sum/Number_of_nice_subarrays.py,Arrays,Prefix Sum,Medium,,
Yes,https://leetcode.com/problems/special-array-ii/,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Arrays/Prefix%20Sum/Prefix_sum_on_pair_parity.py,Arrays,Prefix Sum,Medium,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Arrays/Repeat_and_Missing_Number.py,Arrays,,,,
Yes,https://leetcode.com/problems/minimum-swaps-to-group-all-1s-together-ii/?envType=daily-question&envId=2024-08-02,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Arrays/Sliding_Window/Min_Swaps_to_group_ones.py,Arrays,Sliding Window,Medium,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Arrays/Sort_an_array_of_0%27s%2C_1%27s_and_2%27s.py,Arrays,,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Arrays/Sort_an_array_of_0%27s_1%27s_and_2%27s.py,Arrays,,,,
Yes,https://leetcode.com/problems/maximum-swap,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Arrays/Swap_to_form_Max_number.py,Arrays,,Medium,,
Yes,https://leetcode.com/problems/valid-sudoku/?envType=study-plan-v2&envId=top-interview-150,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Arrays/Valid_Sudoku_Checker.py,Arrays,,Medium,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Binary%20Search%20Trees/LCA_in_BST.py,Binary Search Trees,,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Binary%20Search%20Trees/Merge_2_BST.py,Binary Search Trees,,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Binary%20Search/Find_the_row_with_maximum_number_of_1%27s.py,Binary Search,,,,
